quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7800,0,draft,2025-05-23T17:28:12.251509+00:00,2025-06-06T17:00:00+00:00,,2025-06-22T17:28:12.240664+00:00,False,BID0030983,1,"G:\Bell Helicopter\20250520 - BID0030983

Customer said the 102 files are the same as the 101 files",
7801,0,outstanding,2025-05-23T18:17:17.121732+00:00,2025-05-27T17:00:00+00:00,2025-05-27T16:00:57.310442+00:00,2025-06-22T18:17:17.100195+00:00,False,420462,9,"G:\Applied Materials\20250522 - 420462

Quote for Contract 

""Reference to Ariba Doc5128046935 - NRE fee for PNs 0021-31341 and 0041-63094""
(This is pricing from that Ariba doc ^)
PN                                                 	Material Description                     	EAU 4070	                MOQ  	Revised Price from Athena
0020-23847	CLAMP, MEDIUM, SHIELD, INNER, 300MM SIP	       3500	                  50	        $43.29
0020-23848	CLAMP, MARGIN, SHIELD, INNER, 300MM SIP	       1000	                  150	    $41.33
0020-83528	NUT SECTOR, WAFER LIFT, 300MM ENDURA	        300	                   50	    $65.86
0020-91609	PLATE, NUT, CH. SHIELD, 300MM ENCORE TA(	        1050	                  150	    $41.08
0021-19688	CLAMP, UPPER ADAPTER SIP 300MM	                         750	                  150	    $128.00
0021-28902	NUTPLATE, SHIELD W LINER, STD PVD, 300MM	800	                  130	    $94.38
0021-31341	RING, NUT SECTOR PC	                                                          50	                   20	    $100.96
0021-33842	NUT PLATE, EQUIPOTENTIAL, XESC	                         150	                  50	    $38.02
0021-82352	PLATE, NUT SECTOR, NITRONIC 60, ADAPTER	         950	                  103	    $56.37
0021-91756	NUT PLATE	                                                                                 700	                   70	    $43.01
0022-00263	BASE PLATE RIGHT, LIFTING BRACKET. APC	          150	                  50	     $248.00
0022-00264	BASE PLATE LEFT, LIFTING BRACKET. APC  E	          150	                  50	     $248.00
0022-06646	PLATE, NUT SECTOR, BIAS ADAPTER	                         1350	                   200          $111.00
0022-13908	BRACKET, ANTI LIFT KIT, DTESC MOUNT	                 250	                50                $72.58
0022-28562	PLATE, NUT, SHIELD, ADAPTER, 600MM	               1200	                130	     $81.50
0022-41052	NUT SECTOR, HT MCXT, E2, 300MM	                                  100	                   25	    $86.76
0040-96246	LOWER,BRACKET, LIFT SHIELDS, FEOL ENDURA	700	                  100	    $35.71
0041-63094	HEATER PLATE, MOW                                                        	200	                    50	    $105.00",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/eebf2af9-760f-413d-bd9f-7370c0080ae9/Quote7801.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=Eid6zCxbVv7Vtn88wpfKH9SvDC0%3D&Expires=1750371370
7802,0,outstanding,2025-05-23T18:25:36.985588+00:00,2025-06-03T17:00:00+00:00,2025-06-13T16:08:13.434814+00:00,2025-07-30T12:00:00+00:00,False,6000128457,3,"G:\Applied Materials\20250423 -6000127595

copy to 7577",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/796f5692-66ac-4aa9-97c1-a0673dbdfc8d/Quote7802.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=niHONM9jL9kkRT3VjqQNMZVL3Gk%3D&Expires=1750371370
7803,0,draft,2025-05-23T18:30:38.135813+00:00,2025-05-29T17:00:00+00:00,,2025-06-22T18:30:38.121636+00:00,False,420511,,"G:\Applied Materials\20250522 - 420511

0023-44467 is the replacement for old pn 0023-35491",
7804,0,outstanding,2025-05-23T18:35:18.383059+00:00,2025-05-26T18:35:18.367129+00:00,2025-06-12T19:29:33.685063+00:00,2025-07-30T12:00:00+00:00,False,420598,2,"G:\Applied Materials\20250523 - 420598

QTY/EAU requested",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/7c3a0aeb-7c21-4b3f-ac9f-18dd97f6a25b/Quote7804.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=7oWsf390NYIB6wA6NZgO9hQ632Y%3D&Expires=1750371370
7805,0,outstanding,2025-05-23T18:37:49.656897+00:00,2025-05-26T18:37:49.646386+00:00,2025-05-29T20:50:00.492342+00:00,2025-06-30T12:00:00+00:00,False,420678,,G:\Applied Materials\20250523 - 420678,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/e7171e82-18ac-4697-92fb-85f7fd8d0c09/Quote7805.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=JfWrKcpSuAlUTn69nSXA2KTaN7Q%3D&Expires=1750371370
7806,0,outstanding,2025-05-23T18:41:26.620307+00:00,2025-05-30T17:00:00+00:00,2025-06-06T18:17:23.500485+00:00,2025-07-30T12:00:00+00:00,False,420701,1,"G:\Applied Materials\20250523 - 420701

eau 2200",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/6e265ae6-851e-463f-8d66-9a24e7b6921b/Quote7806.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=bri15E54TzDUH097q3vb4DCa50k%3D&Expires=1750371374
7807,0,outstanding,2025-05-23T18:44:46.898473+00:00,2025-06-04T17:00:00+00:00,2025-05-28T15:07:08.359117+00:00,2025-06-30T12:00:00+00:00,False,420692,10,"G:\Applied Materials\20250523 - 420692

QTY/EAU requested

under $4k target
Grob preferred
10/week",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/d85e488e-db5a-44ff-9039-fc61f091af8b/Quote7807.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=NGxm47XQiW4QlyzyVteJUx%2Bd03M%3D&Expires=1750371376
7808,0,expired,2025-05-23T21:11:11.497163+00:00,2025-05-26T21:11:11.485805+00:00,,2025-05-23T23:31:02.321625+00:00,True,test,,File Location here.,
7809,0,outstanding,2025-05-27T15:50:16.140607+00:00,2025-05-30T15:50:16.123926+00:00,2025-05-27T16:04:39.160096+00:00,2025-06-26T15:50:16.121589+00:00,False,PO 253128,,"Parts built, this quote built after the fact for tracking - DD 5/27/25

G:\Serbin Machining Inc\FAI\2008M21P01 Rev",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/e9881643-2ae1-4c61-9566-62a180106725/Quote7809.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=MgTA%2BuetErzQ0kbIPvgULZkkdxE%3D&Expires=1750371371
