quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7100,0,expired,2025-02-14T15:17:34.742917+00:00,2025-03-14T17:00:00+00:00,2025-03-17T15:40:48.813169+00:00,2025-03-16T15:17:34.729301+00:00,True,BCA-2025-127740,2,G:\Boeing\20250212 - BCA-2025-127740,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/db5c046e-496a-42e7-a2ec-671db4248934/Quote7100.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=yewEsvW8xbApIfNHRCjRK6%2B%2F%2FJE%3D&Expires=1750372300
7101,0,expired,2025-02-14T15:44:29.363392+00:00,2025-02-19T18:00:00+00:00,2025-02-20T21:35:42.322322+00:00,2025-03-31T12:00:00+00:00,True,M00022546,1,"G:\Sanmina-SCI\20250212 - M00022546

please quote for 1 frame NPI and 
14 frames for EAU.",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/1d4dc7ab-d461-476a-9df6-a6d8fa9b6b90/Quote7101.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=rbf7LAvAeI8MNMFcLtMWbOBRKYg%3D&Expires=1750372303
7103,0,expired,2025-02-14T15:59:59.386223+00:00,2025-02-20T18:00:00+00:00,2025-02-21T19:03:24.173219+00:00,2025-03-31T12:00:00+00:00,True,ESP0031A,2,"G:\Valex\20250213 - ESP0031A

We are needing the panel to be completely fabricated.
Material call-out: 13GA CRS
Paint: S.W. PWS8-40146 SKY WHITE, TGIC POLYESTER
Qty         2",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/30053f88-51e7-4dd7-ba87-4b577cc6f8f9/Quote7103.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=1QXfUejxQp37bjGQeL2QOFPTJOQ%3D&Expires=1750372300
7104,0,expired,2025-02-14T16:18:24.207921+00:00,2025-02-21T18:00:00+00:00,2025-02-21T19:01:41.621377+00:00,2025-03-31T12:00:00+00:00,True,402617,9,"G:\Applied Materials\20250213 - 402617

EAU is 1, you can provide scale pricing x1,x2,x3,x5,x10,x15
Please make sure we quote REV 03",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/6554496e-4a99-4bff-a715-85a6fb01f904/Quote7104.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=cr36QTevtVRdu%2BsDWH1Y833oRQM%3D&Expires=1750372301
7106,0,expired,2025-02-14T16:27:38.774571+00:00,2025-02-19T18:00:00+00:00,2025-02-21T18:57:25.683744+00:00,2025-03-31T12:00:00+00:00,True,402984,2,"G:\Applied Materials\20250214 - 402984

This is an NPI part, current demand for Q2 is showing as x2 but that number will likely increase as new tool demand gets loaded.",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/30883aaf-004f-4175-af29-6906355e32b9/Quote7106.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=8fgnq6YNfSfel9NPPJQttOOdBzo%3D&Expires=1750372304
7107,0,expired,2025-02-14T16:30:24.300931+00:00,2025-02-19T18:00:00+00:00,2025-02-24T20:58:31.526047+00:00,2025-03-31T12:00:00+00:00,True,402990,10,"G:\Applied Materials\20250214 - 402990

NPI part, current demand is showing as x1 but this number is likely to change as more tools get loaded.",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/47406c32-acd7-4dc6-98bf-8c6735e84ed6/Quote7107.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=%2FCFhmflPqxfIt%2BDCre7oma%2FujSQ%3D&Expires=1750372302
7108,0,expired,2025-02-14T16:38:22.919957+00:00,2025-02-27T18:00:00+00:00,2025-04-14T13:58:38.306775+00:00,2025-05-23T12:00:00+00:00,True,402726,2,"G:\Applied Materials\20250213 - 402726

Quote for Contract",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/b7bd385a-5bf8-4353-ae91-7b274c88f015/Quote7108.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=LnfZ3UgeRzjc0aVZeD9W1dzU1yE%3D&Expires=1750372306
7109,0,expired,2025-02-14T16:38:32.193713+00:00,2025-02-19T18:00:00+00:00,2025-04-14T13:48:03.643393+00:00,2025-05-23T12:00:00+00:00,True,403006,2,"G:\Applied Materials\20250214 - 403006

NPI RFQ, current demand being shown as x1, but is likely to change when new tools are loaded.",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/34a4a8ba-0b90-4354-b0a8-491428404822/Quote7109.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=zJCLJZfNMKTmSVE0f7z2huVQP%2Bo%3D&Expires=1750372306
7110,0,expired,2025-02-14T19:41:20.931243+00:00,2025-02-17T19:41:20.920177+00:00,2025-02-14T19:48:51.265980+00:00,2025-03-16T19:41:20.918544+00:00,True,KS0203/D04,2,File Location here.,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/b5528dbc-9101-4d0d-aecf-7ab16ae7671a/Quote7110.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=gWPfD0FneMP0N9GcdrNhSbZ3eFE%3D&Expires=1750372304
7111,0,expired,2025-02-17T16:50:11.432431+00:00,2025-02-20T16:50:11.420682+00:00,2025-02-24T20:59:09.866015+00:00,2025-03-31T12:00:00+00:00,True,403009,10,"G:\Applied Materials\20250214 - 403009

This is an NPI part, demand is currently at x1 but more is likely to get loaded throughout the year.",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/d045432a-0a96-46b7-988f-9e3c41257d78/Quote7111.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=eKN%2FEtJAQfCgaJTb2AFhme3BzjY%3D&Expires=1750372307
